src,trg
CC(C)(C)C(NC(=O)OC1CCCC1)C(=O)N1CC(OC(=O)N2Cc3cccc(F)c3C2)CC1C(=O)NC1CCOB1O,CC(C)(C)C(NC(=O)OC1CCCC1)C(=O)N1CC(OC(=O)N2Cc3cccc(F)c3C2)CC1C(=O)NC1CCOB1O
CCOc1ccc(CNC(C(=O)NC2c3ccccc3CC2O)C(O)C(Cc2ccccc2)NC(=O)C(NC(=O)OCc2ccccc2)C(C)(C)C)cc1,CCOc1ccc(CNC(C(=O)NC2c3ccccc3CC2O)C(O)C(Cc2ccccc2)NC(=O)C(NC(=O)OCc2ccccc2)C(C)(C)C)cc1
CC(C)C(C(=O)O)N(C)C(=O)C(CC(O)C(OCc1ccccc1)C(=O)N(C)C(C(=O)O)C(C)C)OCc1ccccc1,CC(C)C(C(=O)O)N(C)C(=O)C(CC(O)C(OCc1ccccc1)C(=O)N(C)C(C(=O)O)C(C)C)OCc1ccccc1
CC(C)(C)OC(=O)NC(C(=O)N1CC2C(C1C(=O)NC(CC1CC1)C(=O)C(N)=O)C2(C)C)C1CCCCC1,CC(C)(C)OC(=O)NC(C(=O)N1CC2C(C1C(=O)NC(CC1CC1)C(=O)C(N)=O)C2(C)C)C1CCCCC1
C=CC1CC1(NC1CC(Oc2cc(-c3csc(NC(C)C)n3)nc3cc(OC)ccc23)CN1C(=O)C(NC(=O)OC(C)(C)C)C1CCCCC1)C(=O)NS(=O)(=O)C1CC1,C=CC1CC1(NC1CC(Oc2cc(-c3csc(NC(C)C)n3)nc3cc(OC)ccc23)CN1C(=O)C(NC(=O)OC(C)(C)C)C1CCCCC1)C(=O)NS(=O)(=O)C1CC1
COC(=O)C(NC(=O)C(OCc1ccccc1)C(O)C(O)C(OCc1ccccc1)C(=O)NC(C(=O)OC)C(C)C)C(C)C,COC(=O)C(NC(=O)C(OCc1ccccc1)C(O)C(O)C(OCc1ccccc1)C(=O)NC(C(=O)OC)C(C)C)C(C)C
O=C(NCCCCCN1C(=O)N(CCCCCNC(=O)c2ccncc2)C(Cc2ccccc2)C(O)C(O)C1Cc1ccccc1)c1ccncc1,O=C(NCCCCCN1C(=O)N(CCCCCNC(=O)c2ccncc2)C(Cc2ccccc2)C(O)C(O)C1Cc1ccccc1)c1ccncc1
COc1ccc(NC(=O)C(C)(C)C)cc1,COc1ccc(NC(=O)C(C)(C)C)cc1
COC1OC2COC(c3ccccc3)OC2C(OCc2ccccc2)C1O,COC1OC2COC(c3ccccc3)OC2C(OCc2ccccc2)C1O
CCC1CC1(NC(=O)C1CC(Oc2cc(-c3csc(NC(C)C)n3)nc3c(Cl)c(OCCN4CCOCC4(C)C)ccc23)CN1C(=O)C(NC(=O)OC1CC2CC2C1)C(C)(C)C)C(=O)O,CCC1CC1(NC(=O)C1CC(Oc2cc(-c3csc(NC(C)C)n3)nc3c(Cl)c(OCCN4CCOCC4(C)C)ccc23)CN1C(=O)C(NC(=O)OC1CC2CC2C1)C(C)(C)C)C(=O)O
CC(C)OC(=O)NC(C(=O)N1CC2C(C1C(=O)NC(CC1CC1)C(=O)C(N)=O)C2(C)C)C1CCCCC1,CC(C)OC(=O)NC(C(=O)N1CC2C(C1C(=O)NC(CC1CC1)C(=O)C(N)=O)C2(C)C)C1CCCCC1
CCCC(NC(=O)C1CC2CN1C(=O)C(C1CCCCC1)NC(=O)Cc1cccc(c1)OCCCO2)C(=O)C(=O)O,CCCC(NC(=O)C1CC2CN1C(=O)C(C1CCCCC1)NC(=O)Cc1cccc(c1)OCCCO2)C(=O)C(=O)O
