standard_inchi_key,canonical_smiles
CRIUXIIBRNJOND-UHFFFAOYSA-N,O=C(CSc1nc2ccccc2s1)NNC(=S)Nc1ccc(Br)cc1
AXPHDPUBCFUVEN-UHFFFAOYSA-N,CN(CC(=O)N1CCN(c2ccccn2)CC1)S(=O)(=O)c1ccc2ccccc2c1
LOYIQGBTNJFCIL-ZPWJQIKTSA-N,C=CC1CC1(NC(=O)C1CC2(CN1C(=O)C(NC(=O)C(NC(=O)C1CCCCN1C(C)C)C1CCCCC1)C(C)(C)C)C(C)(C)C21CCC1)C(=O)NS(=O)(=O)N(C)C
DTMLFACGLCAGFE-UHFFFAOYSA-N,CCOC(=O)CC(=O)CSc1ccc2nnc(-c3ccc(C)cc3)n2n1
CSIGUGGJAICJPV-UHFFFAOYSA-N,COc1cc(C(=O)O)cc(Br)c1OC1CCCC1
BFCCZMNFROWULC-UHFFFAOYSA-N,CC(C)n1c(NCc2cc(Cl)ccc2O)nc2ccccc21
YPVPTDGLGFOXBD-UHFFFAOYSA-N,NC(=O)c1ccsc1NC(=O)c1ccc2c(c1)CCCC2
QPSWVYBJANGZBF-AXHDJRLXSA-N,CCCCC(C)C=C(C)C(=O)OC1CCC(C(=O)O)C2(C)CC3C(C)COC3(O)CC12
JGHGEBHNSZDBKF-UHFFFAOYSA-N,O=S(=O)(C=C(c1ccccc1)c1ccccc1)c1ccccc1
UISDECBZUMBAHQ-UHFFFAOYSA-N,Cc1c(C(=O)NC2CCCc3ccccc32)oc2ccc(S(=O)(=O)N3CCOCC3)cc12
WQBPXJSWOBGZJK-UHFFFAOYSA-N,COc1cc(-c2cc(-c3ccc(O)cc3)nc(N)c2C#N)ccc1O
OCMSFQVPDKBEHT-WQRHYEAKSA-N,COc1ccc(C=C2SC(=S)N(CCC(=O)Nc3cccc(O)c3)C2=O)cc1OC
JTCZQHYELLIGKN-NYDCQLBNSA-N,CC(C)CN(C(CO)CCCCNC(=O)C(NC(=O)N(C)C)C(c1ccccc1)c1ccccc1)S(=O)(=O)c1ccc(N)cc1
GIKKYCFQQDVNNN-UHFFFAOYSA-N,Cc1cc(C)c(Oc2nc(NC3CCN(Cc4ccncc4)CC3)nc3ccsc23)c(C)c1
VUKAFZKFNOJEEK-UHFFFAOYSA-N,COCCNc1nc(-n2nc(C)cc2C)nc2sc3c(c12)CCCC3
WEMWRUWLBLFBAD-INIZCTEOSA-N,CC(C)C(NC(=O)NC1CCN(Cc2ccccc2)CC1)C(=O)O
GAGUPYMOUXMLDL-UHFFFAOYSA-N,Cc1nnc(NC(=O)CSc2cn(CCNC(=O)c3ccccc3)c3ccccc23)s1
YBAABLZLODMXCY-MDZDMXLPSA-N,O=C(C=Cc1ccccc1)Nc1sc2c(c1C(=O)O)CCC2
HZNFDKGSXFYOQI-UHFFFAOYSA-N,Cc1ccc(C(=O)c2ccccc2C(=O)OCC(=O)Nc2ccc(SC(F)F)cc2)cc1
VABMKNKYEZHAPP-UHFFFAOYSA-N,COC(=O)c1ccc(COC(=O)CNC(=O)c2ccco2)cc1
AOLAYLKNDDFVPW-UHFFFAOYSA-N,COCCCN(C(=O)c1ccco1)c1nc(-c2ccc(OC)cc2)cs1
BAWZYPZGXYOSON-UHFFFAOYSA-N,CCCCCC=C(c1cc(Cl)c(O)c(C(=O)NO)c1)c1cc(Cl)c(O)c(C(=O)NO)c1
DVOZOHPFZNCFDJ-UHFFFAOYSA-N,N#CC1=C(S)N(c2ccccc2)C(c2cccs2)NC1=O
LSQQUPRKNYRRBN-UHFFFAOYSA-N,Cc1ccc2c(c1)c1c3n2CCN(C(=O)Cn2c(-c4ccccc4)noc2=O)C3CCC1
QGQAMJDBCVZUGZ-UHFFFAOYSA-N,O=C1c2cccnc2C2(c3ccccn3)SCCN12
MQNLCJZCNKGHCR-UHFFFAOYSA-N,COc1ccc(S(=O)(=O)N2CCC(C(=O)N3CCc4ccccc4C3)CC2)cc1Cl
RVEGSBWBBUDVIZ-DHZHZOJOSA-N,CCN(CC)S(=O)(=O)c1ccc(OC)c(NC(=O)C=Cc2ccco2)c1
GPUHIRSALCEOGX-UHFFFAOYSA-N,COc1ccc(NC(S)=NCC2CCN(c3ccc(OC)cc3)C2)cc1
YLCLGDNMRKSMDS-VOTSOKGWSA-N,CC1OC(C=CC2CC2)(C(F)(F)F)c2c(ccc(F)c2F)NC1=O
GRLASHQJZZABFZ-JAIQZWGSSA-N,CCOC(=O)C(O)=CC(=O)c1cn(Cc2ccc(F)cc2)c2c(OC)cc(OC)cc12
ZGVSMROZRSOMIQ-UHFFFAOYSA-N,Cc1ccc2c(CC(=O)O)coc2c1
PAPBFAMQXMWKHK-MHWRWJLKSA-N,Brc1ccc(-c2csc(N=CN3CCOCC3)n2)cc1
QDOGNKPGDPBJGC-LBRCZLFKSA-N,CCC(C)C(NC(=O)C(CC(O)C(CC1CCCCC1)NC(=O)COc1ccccc1)C(C)C)C(=O)NCc1ccccn1
GMKVVRFROVPSSF-UHFFFAOYSA-N,COc1ccc(N2C(=O)C3CCCN3C2c2cccc(C)c2)cc1
KELNNWMENBUHNS-NSHDSACASA-N,CCC1C(=O)Nc2ccc(F)cc2N1C(=O)OC(C)C
WSMXVXJPCUOWCC-UHFFFAOYSA-N,COC(=O)c1cccc(Oc2nc3c(c(=O)n(C)c(=O)n3C)n2Cc2ccc(C)cc2)c1
CWGCYJGOFZYJAU-UHFFFAOYSA-N,COc1cnc(SCc2ccc(Cl)c(Cl)c2)nc1Cl
RCIZIAKTYOYNBY-UHFFFAOYSA-N,CCCC(=O)Nc1cc(=O)n(C)c(=O)n1C
QWFYMKHTJZNUAI-UHFFFAOYSA-N,CCOc1cc(S(=O)(=O)N(CC)CC)ccc1Br
FOPXCFFROVQCKO-UHFFFAOYSA-N,COc1cc(NC(=O)c2ccco2)c(C(=O)OCC(=O)c2c[nH]c3ccccc23)cc1OC
HBBHABDTVWCOFY-QKQHLIOXSA-N,CCOC(=O)c1ccc(NC(=O)NC2(C)CC(C(=O)NC(CC)B3OC4C5CC(CC4(C)O3)C5(C)C)n3c2ncc(NCc2cccc(C(F)(F)F)c2)c3=O)cc1
LLUGMCJPUFSHGZ-CWYSQHEVSA-N,CC(=O)NC1C(NC(=N)NC(=O)Cn2cc(-c3cccc(N)c3)nn2)C=C(C(=O)O)OC1C(O)C(O)CO
CMKJITUFHGOOEL-MHZLTWQESA-N,Cc1ccc(-c2nc(C)c(C(OC(C)(C)C)C(=O)O)c(-c3ccc4c(c3Cl)NCCO4)c2C)cc1C
OBFVZGKWVQGPIN-YBEGLDIGSA-N,COc1cc(C=C(C#N)c2ccc(F)cc2)ccc1OCc1ccc(C(=O)O)o1
SGFNNLYTSVJUFM-UHFFFAOYSA-N,O=C1c2c(O)c(O)cc(=O)n2CCN1Cc1ccccc1
PNNHNDGSYQYZQG-UHFFFAOYSA-N,CCOC(=O)c1sc2nc(CC(=O)OC)nc(NCc3ccco3)c2c1C
