standard_inchi_key,canonical_smiles
APIPLLBUSGFYKP-VIHJOENHSA-N,CC(C)(c1ncc(-c2ccc(Cl)cc2)s1)N1CCN(CC(O)CC(Cc2cc3cnccc3s2)C(=O)NC2c3ccccc3OCC2O)C(C(=O)NCC(F)(F)F)C1
RNBNABRBLMLESP-AVVHONGESA-N,CC1(C)SC(C(NC(=O)Cc2ccccc2)C(=O)NCc2ccccc2)NC1C(=O)NC(Cc1ccccc1)C(O)CC(=O)NCc1ccccc1
SKMCYGKNAPIRGG-GKBUEBNRSA-N,CC1(OC(=O)C=Cc2ccccc2)CCC2C(C(=O)O)=COC(OC3OC(CO)C(O)C(O)C3O)C21
AILGRWSIRAPLCJ-UHFFFAOYSA-N,CC(C)=CCOc1ccc(C2=C(CC(C)C)C(=O)NC2=O)cc1
VMGAVHOARRCARD-BVZDXHHWSA-N,C=CC1CC1(NC(=O)C1CC2(CN1C(=O)C(NC(=O)C(NC(=O)C1CCN1C(C)C)C(C)(C)C)C(C)(C)C)C(C)(C)C21CCC1)C(=O)NS(=O)(=O)N1CCCC1
YMOCFSYHKAINCX-ZEQRLZLVSA-N,NCCCCC(NC(=O)c1ccc2ccccc2c1)C(=O)NC(CCCCN)C(=O)NCCCCN=C(N)N
KBEBINFLVWAWAO-CPIGRZJLSA-N,CCCCC(CC1(CC(CCCC)C(=O)NC(CC(C)C)C(=O)NC(Cc2ccccc2)C(=O)OC)CO1)C(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)OC
BSMSPBFXRDSSPW-UHFFFAOYSA-N,CC(C)C(=O)Nc1ccc(O)cc1
NPDQUZURBAOYPQ-UHFFFAOYSA-N,COc1cc(OC)c2c(=O)c3cc(N)c(Cl)cc3[nH]c2c1
YOBNADNOMIABOE-UEOMBKFZSA-N,Cc1cccc(CC(NC(=O)c2c(C)ccc(O)c2C)C(O)C(=O)N2CC(Cl)CC2C(=O)NC(C)(C)C)c1
YYTCBCZEWNZXGE-RNATXAOGSA-N,CC(C)NC(=O)c1cccc(CN2C(=O)N(Cc3cccc(C(=O)NC(C)C)c3)C(Cc3ccccc3)C(O)C(O)C2Cc2ccccc2)c1
DOEZXCZJNCFNGG-SFHVURJKSA-N,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4nnn(C(C)c5ccc(F)cc5)c(=O)c4c3)cc12
KYTKGYRYFOOIRX-XWHIBYANSA-N,NC(=O)c1cccc(CN2C(=O)N(Cc3cccc(C(N)=O)c3)C(Cc3ccccc3)C(O)C2CCc2ccccc2)c1
VMGOTRGBVQJZKV-KLHXPXHOSA-N,C=CC1CC1(NC(=O)C1CN(c2ccc(N3CCOCC3)cc2)CN1C(=O)C(NC(=O)OC1CCCC1)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1
KJLVRBKYGUSVIH-QYUFTOKOSA-N,COc1cnc(OC2CC(C(=O)NC3(C(=O)NS(=O)(=O)C4CC4)CC3C3CC3)N(C(=O)C(NC(=O)OC(C)C(F)(F)F)C3CCC3)C2)c2cc(Cl)ccc12
JWEADFUAWHVJEJ-SJCJKPOMSA-N,CCC(NC(C)CC(N)=O)c1ccc(Cl)c(C(=O)c2ccc(CO)cc2)c1F
GQTWBBSVPZQOLR-UHFFFAOYSA-N,COc1cccc2c(=O)c3cc(Cl)cc(C(=O)Nc4cc(Cl)ccn4)c3[nH]c12
SFUFZFGZNMYWEU-DTCNJJKHSA-N,COC1(c2ccc3c(N)ncnn23)OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1(C)C#N
YSMZGQGWJHKIJH-UHFFFAOYSA-N,Nc1cc(N)cc(-c2ccc3c(CC(=O)O)cn(Cc4cccc(Cl)c4)c3c2)c1
VPUJKJRJKWOLMV-JFKVGHNISA-N,CC(C)c1cc(CN2CCN(CC(O)C(Cc3ccccc3)NC(=O)OC3CCS(=O)(=O)C3C(C)C)C(C(=O)NC(C)(C)C)C2)cc(C(C)C)n1
NWFWLEAQCNXLAB-ZQGBQPHDSA-N,C=CC1CC1(NC(=O)C1CC2(CN1C(=O)C(NC(=O)C(NC(=O)C1CCCCN1C1CCCC1)C1CCCCC1)C(C)(C)C)C(C)(C)C21CCC1)C(=O)NS(=O)(=O)N1CCCC1
CYTYJWMCNNINSW-DVJROGMASA-N,CCNC(=O)C(=O)C1CCCCCCCCCC(NC(=O)NC(CN(C)S(=O)(=O)c2cccs2)C(C)(C)C)C(=O)N2CC3C(C2C(=O)N1)C3(C)C
NLILUYPJMVQSSC-HHTYSFQGSA-N,CCCC(NC(=O)C(NC(=O)C(NC(=O)OC(C)(C)C)C(C)C)c1ccc(Oc2cc(-c3ccccc3)nc3cc(OC)ccc23)cc1)C(=O)NS(=O)(=O)c1ccccc1
ZCNJNFHBYZGZRB-XHDOYAJVSA-N,CCCCC(NC(=O)C1C2C(CN1C(=O)C(NC(=O)NC(CN1C(=O)CC(C)(C)CC1=O)C(C)(C)C)C(C)(C)C)C2(C)C)C(=O)C(=O)NCCC
FKBRDJAHOIJUOZ-RQDTZXEHSA-N,C=CCNC(=O)C(=O)C(CCC)NC(=O)C1C2C(CN1C(=O)C(NC(=O)NC(CN1CCCCC1=O)C(C)(C)C)C1CCCCC1)C2(C)C
BFWPVLSACSESSM-VHGZSVTHSA-N,O=C(NC(Cc1ccccc1)C(O)CC1(Cc2ccccc2)NC=C(C2CNC(=O)c3ccccc32)C1=O)OC1CCOC1
DNEAOIQRXITGGV-VNNQLOJDSA-N,C=CC1CC1(NC(=O)C1CC(Oc2cc(-c3ccccc3)nc3cc(OC)ccc23)CN1C(=O)C(NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NCC(F)(F)F
GHBUZSGLSLUJLN-YXRRNMOASA-N,CC(C)(C)OC(=O)NC(Cc1ccccc1)C(O)CC(Cc1ccc(C(F)(F)F)cc1)C(=O)NC1c2ccccc2CC1O
SFXXPTJAVSRADD-IWVFXYMLSA-N,COc1ccc(S(=O)(=O)N(CC(O)CN2C(=O)C(CCC#N)OCC2Cc2ccccc2)CC2CCCC2)cc1
LYPCRATUHDYWCT-ZDUSSCGKSA-N,CCC(N)c1ccc(Cl)c(C(=O)c2ccccc2)c1F
IBGSYHZPJOAHDT-QHQMVRJISA-N,N#Cc1ccccc1-n1ccc(CN2CCN(CC(O)CC(Cc3cccnc3)C(=O)NC3c4ccccc4OCC3O)C(C(=O)NCC(F)(F)F)C2)c1
RBZMSTJYVNMKDQ-ACRUOGEOSA-N,NCCCCC(NC(=O)C(CCCN)NC(=O)Cc1ccccc1)C(=O)NC(C=O)CCCN=C(N)N
JPXHDJHUEXAQRF-UHFFFAOYSA-N,CCCN(C)C(=O)Oc1nsnc1-c1c(Cl)cccc1Cl
CRRMQORWVFJFIV-ALKXEMMNSA-N,COc1cccc(COc2ccc(C(NC(=O)C(CCCCN)NC(=O)C(CCCN=C(N)N)NC(=O)c3ccc(-c4cccs4)s3)C(N)=O)cc2)c1
